"year","month","oni","month_type"
"1980","1","0.6","el Nino"
"1980","2","0.5","el Nino"
"1980","3","0.3","neutral"
"1980","4","0.4","neutral"
"1980","5","0.5","el Nino"
"1980","6","0.5","el Nino"
"1980","7","0.3","neutral"
"1980","8","0","neutral"
"1980","9","-0.1","neutral"
"1980","10","0","neutral"
"1980","11","0.1","neutral"
"1980","12","0","neutral"
"1981","1","-0.3","neutral"
"1981","2","-0.5","la Nina"
"1981","3","-0.5","la Nina"
"1981","4","-0.4","neutral"
"1981","5","-0.3","neutral"
"1981","6","-0.3","neutral"
"1981","7","-0.3","neutral"
"1981","8","-0.2","neutral"
"1981","9","-0.2","neutral"
"1981","10","-0.1","neutral"
"1981","11","-0.2","neutral"
"1981","12","-0.1","neutral"
"1982","1","0","neutral"
"1982","2","0.1","neutral"
"1982","3","0.2","neutral"
"1982","4","0.5","el Nino"
"1982","5","0.7","el Nino"
"1982","6","0.7","el Nino"
"1982","7","0.8","el Nino"
"1982","8","1.1","el Nino"
"1982","9","1.6","el Nino"
"1982","10","2","el Nino"
"1982","11","2.2","el Nino"
"1982","12","2.2","el Nino"
"1983","1","2.2","el Nino"
"1983","2","1.9","el Nino"
"1983","3","1.5","el Nino"
"1983","4","1.3","el Nino"
"1983","5","1.1","el Nino"
"1983","6","0.7","el Nino"
"1983","7","0.3","neutral"
"1983","8","-0.1","neutral"
"1983","9","-0.5","la Nina"
"1983","10","-0.8","la Nina"
"1983","11","-1","la Nina"
"1983","12","-0.9","la Nina"
"1984","1","-0.6","la Nina"
"1984","2","-0.4","neutral"
"1984","3","-0.3","neutral"
"1984","4","-0.4","neutral"
"1984","5","-0.5","la Nina"
"1984","6","-0.4","neutral"
"1984","7","-0.3","neutral"
"1984","8","-0.2","neutral"
"1984","9","-0.2","neutral"
"1984","10","-0.6","la Nina"
"1984","11","-0.9","la Nina"
"1984","12","-1.1","la Nina"
"1985","1","-1","la Nina"
"1985","2","-0.8","la Nina"
"1985","3","-0.8","la Nina"
"1985","4","-0.8","la Nina"
"1985","5","-0.8","la Nina"
"1985","6","-0.6","la Nina"
"1985","7","-0.5","la Nina"
"1985","8","-0.5","la Nina"
"1985","9","-0.4","neutral"
"1985","10","-0.3","neutral"
"1985","11","-0.3","neutral"
"1985","12","-0.4","neutral"
"1986","1","-0.5","la Nina"
"1986","2","-0.5","la Nina"
"1986","3","-0.3","neutral"
"1986","4","-0.2","neutral"
"1986","5","-0.1","neutral"
"1986","6","0","neutral"
"1986","7","0.2","neutral"
"1986","8","0.4","neutral"
"1986","9","0.7","el Nino"
"1986","10","0.9","el Nino"
"1986","11","1.1","el Nino"
"1986","12","1.2","el Nino"
"1987","1","1.2","el Nino"
"1987","2","1.2","el Nino"
"1987","3","1.1","el Nino"
"1987","4","0.9","el Nino"
"1987","5","1","el Nino"
"1987","6","1.2","el Nino"
"1987","7","1.5","el Nino"
"1987","8","1.7","el Nino"
"1987","9","1.6","el Nino"
"1987","10","1.5","el Nino"
"1987","11","1.3","el Nino"
"1987","12","1.1","el Nino"
"1988","1","0.8","el Nino"
"1988","2","0.5","el Nino"
"1988","3","0.1","neutral"
"1988","4","-0.3","neutral"
"1988","5","-0.9","la Nina"
"1988","6","-1.3","la Nina"
"1988","7","-1.3","la Nina"
"1988","8","-1.1","la Nina"
"1988","9","-1.2","la Nina"
"1988","10","-1.5","la Nina"
"1988","11","-1.8","la Nina"
"1988","12","-1.8","la Nina"
"1989","1","-1.7","la Nina"
"1989","2","-1.4","la Nina"
"1989","3","-1.1","la Nina"
"1989","4","-0.8","la Nina"
"1989","5","-0.6","la Nina"
"1989","6","-0.4","neutral"
"1989","7","-0.3","neutral"
"1989","8","-0.3","neutral"
"1989","9","-0.2","neutral"
"1989","10","-0.2","neutral"
"1989","11","-0.2","neutral"
"1989","12","-0.1","neutral"
"1990","1","0.1","neutral"
"1990","2","0.2","neutral"
"1990","3","0.3","neutral"
"1990","4","0.3","neutral"
"1990","5","0.3","neutral"
"1990","6","0.3","neutral"
"1990","7","0.3","neutral"
"1990","8","0.4","neutral"
"1990","9","0.4","neutral"
"1990","10","0.3","neutral"
"1990","11","0.4","neutral"
"1990","12","0.4","neutral"
"1991","1","0.4","neutral"
"1991","2","0.3","neutral"
"1991","3","0.2","neutral"
"1991","4","0.3","neutral"
"1991","5","0.5","el Nino"
"1991","6","0.6","el Nino"
"1991","7","0.7","el Nino"
"1991","8","0.6","el Nino"
"1991","9","0.6","el Nino"
"1991","10","0.8","el Nino"
"1991","11","1.2","el Nino"
"1991","12","1.5","el Nino"
"1992","1","1.7","el Nino"
"1992","2","1.6","el Nino"
"1992","3","1.5","el Nino"
"1992","4","1.3","el Nino"
"1992","5","1.1","el Nino"
"1992","6","0.7","el Nino"
"1992","7","0.4","neutral"
"1992","8","0.1","neutral"
"1992","9","-0.1","neutral"
"1992","10","-0.2","neutral"
"1992","11","-0.3","neutral"
"1992","12","-0.1","neutral"
"1993","1","0.1","neutral"
"1993","2","0.3","neutral"
"1993","3","0.5","el Nino"
"1993","4","0.7","el Nino"
"1993","5","0.7","el Nino"
"1993","6","0.6","el Nino"
"1993","7","0.3","neutral"
"1993","8","0.3","neutral"
"1993","9","0.2","neutral"
"1993","10","0.1","neutral"
"1993","11","0","neutral"
"1993","12","0.1","neutral"
"1994","1","0.1","neutral"
"1994","2","0.1","neutral"
"1994","3","0.2","neutral"
"1994","4","0.3","neutral"
"1994","5","0.4","neutral"
"1994","6","0.4","neutral"
"1994","7","0.4","neutral"
"1994","8","0.4","neutral"
"1994","9","0.6","el Nino"
"1994","10","0.7","el Nino"
"1994","11","1","el Nino"
"1994","12","1.1","el Nino"
"1995","1","1","el Nino"
"1995","2","0.7","el Nino"
"1995","3","0.5","el Nino"
"1995","4","0.3","neutral"
"1995","5","0.1","neutral"
"1995","6","0","neutral"
"1995","7","-0.2","neutral"
"1995","8","-0.5","la Nina"
"1995","9","-0.8","la Nina"
"1995","10","-1","la Nina"
"1995","11","-1","la Nina"
"1995","12","-1","la Nina"
"1996","1","-0.9","la Nina"
"1996","2","-0.8","la Nina"
"1996","3","-0.6","la Nina"
"1996","4","-0.4","neutral"
"1996","5","-0.3","neutral"
"1996","6","-0.3","neutral"
"1996","7","-0.3","neutral"
"1996","8","-0.3","neutral"
"1996","9","-0.4","neutral"
"1996","10","-0.4","neutral"
"1996","11","-0.4","neutral"
"1996","12","-0.5","la Nina"
"1997","1","-0.5","la Nina"
"1997","2","-0.4","neutral"
"1997","3","-0.1","neutral"
"1997","4","0.3","neutral"
"1997","5","0.8","el Nino"
"1997","6","1.2","el Nino"
"1997","7","1.6","el Nino"
"1997","8","1.9","el Nino"
"1997","9","2.1","el Nino"
"1997","10","2.3","el Nino"
"1997","11","2.4","el Nino"
"1997","12","2.4","el Nino"
"1998","1","2.2","el Nino"
"1998","2","1.9","el Nino"
"1998","3","1.4","el Nino"
"1998","4","1","el Nino"
"1998","5","0.5","el Nino"
"1998","6","-0.1","neutral"
"1998","7","-0.8","la Nina"
"1998","8","-1.1","la Nina"
"1998","9","-1.3","la Nina"
"1998","10","-1.4","la Nina"
"1998","11","-1.5","la Nina"
"1998","12","-1.6","la Nina"
"1999","1","-1.5","la Nina"
"1999","2","-1.3","la Nina"
"1999","3","-1.1","la Nina"
"1999","4","-1","la Nina"
"1999","5","-1","la Nina"
"1999","6","-1","la Nina"
"1999","7","-1.1","la Nina"
"1999","8","-1.1","la Nina"
"1999","9","-1.2","la Nina"
"1999","10","-1.3","la Nina"
"1999","11","-1.5","la Nina"
"1999","12","-1.7","la Nina"
"2000","1","-1.7","la Nina"
"2000","2","-1.4","la Nina"
"2000","3","-1.1","la Nina"
"2000","4","-0.8","la Nina"
"2000","5","-0.7","la Nina"
"2000","6","-0.6","la Nina"
"2000","7","-0.6","la Nina"
"2000","8","-0.5","la Nina"
"2000","9","-0.5","la Nina"
"2000","10","-0.6","la Nina"
"2000","11","-0.7","la Nina"
"2000","12","-0.7","la Nina"
"2001","1","-0.7","la Nina"
"2001","2","-0.5","la Nina"
"2001","3","-0.4","neutral"
"2001","4","-0.3","neutral"
"2001","5","-0.3","neutral"
"2001","6","-0.1","neutral"
"2001","7","-0.1","neutral"
"2001","8","-0.1","neutral"
"2001","9","-0.2","neutral"
"2001","10","-0.3","neutral"
"2001","11","-0.3","neutral"
"2001","12","-0.3","neutral"
"2002","1","-0.1","neutral"
"2002","2","0","neutral"
"2002","3","0.1","neutral"
"2002","4","0.2","neutral"
"2002","5","0.4","neutral"
"2002","6","0.7","el Nino"
"2002","7","0.8","el Nino"
"2002","8","0.9","el Nino"
"2002","9","1","el Nino"
"2002","10","1.2","el Nino"
"2002","11","1.3","el Nino"
"2002","12","1.1","el Nino"
"2003","1","0.9","el Nino"
"2003","2","0.6","el Nino"
"2003","3","0.4","neutral"
"2003","4","0","neutral"
"2003","5","-0.3","neutral"
"2003","6","-0.2","neutral"
"2003","7","0.1","neutral"
"2003","8","0.2","neutral"
"2003","9","0.3","neutral"
"2003","10","0.3","neutral"
"2003","11","0.4","neutral"
"2003","12","0.4","neutral"
"2004","1","0.4","neutral"
"2004","2","0.3","neutral"
"2004","3","0.2","neutral"
"2004","4","0.2","neutral"
"2004","5","0.2","neutral"
"2004","6","0.3","neutral"
"2004","7","0.5","el Nino"
"2004","8","0.6","el Nino"
"2004","9","0.7","el Nino"
"2004","10","0.7","el Nino"
"2004","11","0.7","el Nino"
"2004","12","0.7","el Nino"
"2005","1","0.6","el Nino"
"2005","2","0.6","el Nino"
"2005","3","0.4","neutral"
"2005","4","0.4","neutral"
"2005","5","0.3","neutral"
"2005","6","0.1","neutral"
"2005","7","-0.1","neutral"
"2005","8","-0.1","neutral"
"2005","9","-0.1","neutral"
"2005","10","-0.3","neutral"
"2005","11","-0.6","la Nina"
"2005","12","-0.8","la Nina"
"2006","1","-0.8","la Nina"
"2006","2","-0.7","la Nina"
"2006","3","-0.5","la Nina"
"2006","4","-0.3","neutral"
"2006","5","0","neutral"
"2006","6","0","neutral"
"2006","7","0.1","neutral"
"2006","8","0.3","neutral"
"2006","9","0.5","el Nino"
"2006","10","0.7","el Nino"
"2006","11","0.9","el Nino"
"2006","12","0.9","el Nino"
"2007","1","0.7","el Nino"
"2007","2","0.3","neutral"
"2007","3","0","neutral"
"2007","4","-0.2","neutral"
"2007","5","-0.3","neutral"
"2007","6","-0.4","neutral"
"2007","7","-0.5","la Nina"
"2007","8","-0.8","la Nina"
"2007","9","-1.1","la Nina"
"2007","10","-1.4","la Nina"
"2007","11","-1.5","la Nina"
"2007","12","-1.6","la Nina"
"2008","1","-1.6","la Nina"
"2008","2","-1.4","la Nina"
"2008","3","-1.2","la Nina"
"2008","4","-0.9","la Nina"
"2008","5","-0.8","la Nina"
"2008","6","-0.5","la Nina"
"2008","7","-0.4","neutral"
"2008","8","-0.3","neutral"
"2008","9","-0.3","neutral"
"2008","10","-0.4","neutral"
"2008","11","-0.6","la Nina"
"2008","12","-0.7","la Nina"
"2009","1","-0.8","la Nina"
"2009","2","-0.7","la Nina"
"2009","3","-0.5","la Nina"
"2009","4","-0.2","neutral"
"2009","5","0.1","neutral"
"2009","6","0.4","neutral"
"2009","7","0.5","el Nino"
"2009","8","0.5","el Nino"
"2009","9","0.7","el Nino"
"2009","10","1","el Nino"
"2009","11","1.3","el Nino"
"2009","12","1.6","el Nino"
"2010","1","1.5","el Nino"
"2010","2","1.3","el Nino"
"2010","3","0.9","el Nino"
"2010","4","0.4","neutral"
"2010","5","-0.1","neutral"
"2010","6","-0.6","la Nina"
"2010","7","-1","la Nina"
"2010","8","-1.4","la Nina"
"2010","9","-1.6","la Nina"
"2010","10","-1.7","la Nina"
"2010","11","-1.7","la Nina"
"2010","12","-1.6","la Nina"
"2011","1","-1.4","la Nina"
"2011","2","-1.1","la Nina"
"2011","3","-0.8","la Nina"
"2011","4","-0.6","la Nina"
"2011","5","-0.5","la Nina"
"2011","6","-0.4","neutral"
"2011","7","-0.5","la Nina"
"2011","8","-0.7","la Nina"
"2011","9","-0.9","la Nina"
"2011","10","-1.1","la Nina"
"2011","11","-1.1","la Nina"
"2011","12","-1","la Nina"
"2012","1","-0.8","la Nina"
"2012","2","-0.6","la Nina"
"2012","3","-0.5","la Nina"
"2012","4","-0.4","neutral"
"2012","5","-0.2","neutral"
"2012","6","0.1","neutral"
"2012","7","0.3","neutral"
"2012","8","0.3","neutral"
"2012","9","0.3","neutral"
"2012","10","0.2","neutral"
"2012","11","0","neutral"
"2012","12","-0.2","neutral"
"2013","1","-0.4","neutral"
"2013","2","-0.3","neutral"
"2013","3","-0.2","neutral"
"2013","4","-0.2","neutral"
"2013","5","-0.3","neutral"
"2013","6","-0.3","neutral"
"2013","7","-0.4","neutral"
"2013","8","-0.4","neutral"
"2013","9","-0.3","neutral"
"2013","10","-0.2","neutral"
"2013","11","-0.2","neutral"
"2013","12","-0.3","neutral"
"2014","1","-0.4","neutral"
"2014","2","-0.4","neutral"
"2014","3","-0.2","neutral"
"2014","4","0.1","neutral"
"2014","5","0.3","neutral"
"2014","6","0.2","neutral"
"2014","7","0.1","neutral"
"2014","8","0","neutral"
"2014","9","0.2","neutral"
"2014","10","0.4","neutral"
"2014","11","0.6","el Nino"
"2014","12","0.7","el Nino"
"2015","1","0.6","el Nino"
"2015","2","0.6","el Nino"
"2015","3","0.6","el Nino"
"2015","4","0.8","el Nino"
"2015","5","1","el Nino"
"2015","6","1.2","el Nino"
"2015","7","1.5","el Nino"
"2015","8","1.8","el Nino"
"2015","9","2.1","el Nino"
"2015","10","2.4","el Nino"
"2015","11","2.5","el Nino"
"2015","12","2.6","el Nino"
"2016","1","2.5","el Nino"
"2016","2","2.2","el Nino"
"2016","3","1.7","el Nino"
"2016","4","1","el Nino"
"2016","5","0.5","el Nino"
"2016","6","0","neutral"
"2016","7","-0.3","neutral"
"2016","8","-0.6","la Nina"
"2016","9","-0.7","la Nina"
"2016","10","-0.7","la Nina"
"2016","11","-0.7","la Nina"
"2016","12","-0.6","la Nina"
"2017","1","-0.3","neutral"
"2017","2","-0.1","neutral"
"2017","3","0.1","neutral"
"2017","4","0.3","neutral"
"2017","5","0.4","neutral"
"2017","6","0.4","neutral"
"2017","7","0.2","neutral"
"2017","8","-0.1","neutral"
"2017","9","-0.4","neutral"
"2017","10","-0.7","la Nina"
"2017","11","-0.9","la Nina"
"2017","12","-1","la Nina"
"2018","1","-0.9","la Nina"
"2018","2","-0.8","la Nina"
"2018","3","-0.6","la Nina"
"2018","4","-0.4","neutral"
"2018","5","-0.1","neutral"
"2018","6","0.1","neutral"
"2018","7","0.1","neutral"
"2018","8","0.2","neutral"
"2018","9","0.4","neutral"
