Date,Number of Fires,Acres Burned,Acres Burned per Fire
1/1/00,2796,40757,14.6
2/1/00,5671,168210,29.7
3/1/00,10312,340899,33.1
4/1/00,9236,182713,19.8
5/1/00,11850,294493,24.9
6/1/00,9135,606869,66.4
7/1/00,11293,1854991,164.3
8/1/00,11217,2513602,224.1
9/1/00,8648,850027,98.3
10/1/00,7651,195645,25.6
11/1/00,3285,261681,79.7
12/1/00,1156,83606,72.3
1/1/01,1231,44334,36
2/1/01,6561,118872,18.1
3/1/01,6620,103341,15.6
4/1/01,995,202015,203
5/1/01,18469,258014,14
6/1/01,6961,367544,52.8
7/1/01,8254,387894,47
8/1/01,7579,1358486,179.2
9/1/01,6397,380891,59.5
10/1/01,6223,33868,5.4
11/1/01,10223,99879,9.8
12/1/01,4566,215773,47.3
1/1/02,1383,10079,7.3
2/1/02,4649,55487,11.9
3/1/02,8686,135186,15.6
4/1/02,7365,177888,24.2
5/1/02,8734,736493,84.3
6/1/02,13942,1702508,122.1
7/1/02,7348,1098578,149.5
8/1/02,9983,2385947,239
9/1/02,5175,276819,53.5
10/1/02,2009,128571,64
11/1/02,2068,410256,198.4
12/1/02,2115,66900,31.6
1/1/03,1964,18818,9.6
2/1/03,2030,30877,15.2
3/1/03,3401,44285,13
4/1/03,7066,225841,32
5/1/03,7081,86116,12.2
6/1/03,5744,361081,62.9
7/1/03,7129,970327,136.1
8/1/03,10145,919302,90.6
9/1/03,4620,510642,110.5
10/1/03,6353,170015,26.8
11/1/03,2104,478648,227.5
12/1/03,5992,144890,24.2
1/1/04,1740,15386,8.8
2/1/04,2847,39787,14
3/1/04,9071,95457,10.5
4/1/04,10735,219470,20.4
5/1/04,7675,161170,21
6/1/04,6554,1142287,174.3
7/1/04,6628,3439347,518.9
8/1/04,9575,2022996,211.3
9/1/04,6109,601572,98.5
10/1/04,1918,304809,158.9
11/1/04,1368,21660,15.8
12/1/04,1241,33939,27.3
1/1/05,1674,9735,5.8
2/1/05,2518,18414,7.3
3/1/05,5061,102648,20.3
4/1/05,9010,136097,15.1
5/1/05,6795,107511,15.8
6/1/05,4684,1331249,284.2
7/1/05,7464,2612903,350.1
8/1/05,8276,3078418,372
9/1/05,7693,763713,99.3
10/1/05,3414,95393,27.9
11/1/05,4089,177519,43.4
12/1/05,6075,255789,42.1
1/1/06,3507,330447,94.2
2/1/06,2429,80564,33.2
3/1/06,15006,1438355,95.9
4/1/06,13747,391421,28.5
5/1/06,7156,315375,44.1
6/1/06,15403,1196351,77.7
7/1/06,12408,1412483,113.8
8/1/06,9292,2434567,262
9/1/06,4804,1474795,307
10/1/06,2639,326551,123.7
11/1/06,3401,107342,31.6
12/1/06,6593,365494,55.4
1/1/07,387,4597,11.9
2/1/07,3791,30754,8.1
3/1/07,12086,226060,18.7
4/1/07,7808,214020,27.4
5/1/07,12642,859241,68
6/1/07,9654,502835,52.1
7/1/07,10268,2785585,271.3
8/1/07,7741,2285357,295.2
9/1/07,8567,1317554,153.8
10/1/07,3787,469496,124
11/1/07,2398,205386,85.6
12/1/07,6576,427160,65
1/1/08,1380,40804,29.6
2/1/08,4449,214183,48.1
3/1/08,5259,261256,49.7
4/1/08,8242,758290,92
5/1/08,7790,226503,29.1
6/1/08,9536,672117,70.5
7/1/08,17352,1303710,75.1
8/1/08,10213,1185528,116.1
9/1/08,3728,71959,19.3
10/1/08,5403,299720,55.5
11/1/08,2437,97019,39.8
12/1/08,3190,161379,50.6
1/1/09,2481,57150,23
2/1/09,5495,120447,21.9
3/1/09,13755,363647,26.4
4/1/09,9206,518535,56.3
5/1/09,10848,350997,32.4
6/1/09,6614,493268,74.6
7/1/09,6257,1353884,216.4
8/1/09,10026,1980255,197.5
9/1/09,5535,378523,68.4
10/1/09,2989,91444,30.6
11/1/09,3838,127651,33.3
12/1/09,1748,85985,49.2
1/1/10,1081,19052,17.6
2/1/10,1221,15491,12.7
3/1/10,6233,106074,17
4/1/10,11686,182831,15.6
5/1/10,5563,350774,63.1
6/1/10,4027,812459,201.8
7/1/10,7015,491856,70.1
8/1/10,6718,627443,93.4
9/1/10,13598,366260,26.9
10/1/10,4594,210259,45.8
11/1/10,4277,122728,28.7
12/1/10,5958,117497,19.7
1/1/11,1526,17352,11.4
2/1/11,8226,187021,22.7
3/1/11,7316,385043,52.6
4/1/11,6164,1791469,290.6
5/1/11,6625,1069997,161.5
6/1/11,6567,1345060,204.8
7/1/11,9208,1295630,140.7
8/1/11,8238,864470,104.9
9/1/11,6552,765417,116.8
10/1/11,3399,507724,149.4
11/1/11,2808,270518,96.3
12/1/11,7497,211666,28.2
1/1/12,1758,62909,35.8
2/1/12,3239,29737,9.2
3/1/12,5354,89771,16.8
4/1/12,7506,191062,25.5
5/1/12,4435,337182,76
6/1/12,5415,1363293,251.8
7/1/12,9869,2014395,204.1
8/1/12,6948,3636606,523.4
9/1/12,3734,1077766,288.6
10/1/12,3553,200860,56.5
11/1/12,3694,152697,41.3
12/1/12,11760,65361,5.6
1/1/13,964,8573,8.9
2/1/13,1340,12432,9.3
3/1/13,4615,72120,15.6
4/1/13,4754,48419,10.2
5/1/13,6331,106243,16.8
6/1/13,4046,1252719,309.6
7/1/13,6149,866765,141
8/1/13,7088,1481109,209
9/1/13,3572,215263,60.3
10/1/13,3323,19514,5.9
11/1/13,2376,86092,36.2
12/1/13,2057,137927,67.1
1/1/14,2584,38078,14.7
2/1/14,2983,31686,10.6
3/1/14,6024,97922,16.3
4/1/14,7783,152713,19.6
5/1/14,2458,400822,163.1
6/1/14,4463,172860,38.7
7/1/14,8072,819242,101.5
8/1/14,4280,1039766,242.9
9/1/14,2558,306663,119.9
10/1/14,1946,202883,104.3
11/1/14,8108,191688,23.6
12/1/14,12086,133238,11
1/1/15,1500,22592,15.1
2/1/15,4251,68989,16.2
3/1/15,3118,59677,19.1
4/1/15,6707,167691,25
5/1/15,6072,78187,12.9
6/1/15,6430,1868614,290.6
7/1/15,8186,3461087,422.8
8/1/15,7555,2475720,327.7
9/1/15,6153,881230,143.2
10/1/15,3826,323784,84.6
11/1/15,2097,404910,193.1
12/1/15,6027,312668,51.9
1/1/16,439,3131,7.1
2/1/16,2455,123490,50.3
3/1/16,6324,649511,102.7
4/1/16,6267,687131,109.6
5/1/16,4942,134720,27.3
6/1/16,5230,526926,100.8
7/1/16,8195,1353260,165.1
8/1/16,6507,1116726,171.6
9/1/16,4762,285893,60
10/1/16,6555,126963,19.4
11/1/16,8560,275616,32.2
12/1/16,5339,163153,30.6
1/1/17,2459,54961,22.4
2/1/17,5353,167766,31.3
3/1/17,6717,957427,142.5
4/1/17,5953,817985,137.4
5/1/17,4182,234986,56.2
6/1/17,5336,600373,112.5
7/1/17,9000,2657380,295.3
8/1/17,7493,1648583,220
9/1/17,3033,1325423,437
10/1/17,3408,366641,107.6
11/1/17,3252,354376,109
12/1/17,9945,595161,59.8
1/1/18,3257,71189,21.9
2/1/18,3200,67289,21
3/1/18,6297,392010,62.3
4/1/18,4938,446198,90.4
5/1/18,6197,707411,114.2
6/1/18,5112,812501,158.9
7/1/18,8717,2313597,265.4
8/1/18,7861,2129088,270.8